celda,origen,plano,bin,ancla,n_semillas,frac_lcc_inicial,media_nulo_uniforme,desvio_nulo_uniforme,z,p_empirico
disease_a_gene,Disease,gene,bajo,C0175702,8,0.125,0.128375,0.020260413988860144,-0.16658099888065847,1.0
disease_a_gene,Disease,gene,bajo,C0007760,7,0.14285714285714285,0.14885714285714283,0.03004622289413566,-0.19969232143222373,1.0
disease_a_gene,Disease,gene,bajo,C0239998,5,0.4,0.20240000000000002,0.021777052142105922,9.073771725877465,0.012
disease_a_gene,Disease,gene,bajo,C0002453,5,0.2,0.20440000000000003,0.02933666647729425,-0.14998295745038007,1.0
disease_a_gene,Disease,gene,bajo,C0020550,8,0.125,0.1305,0.026239283526803853,-0.20960938184084432,1.0
disease_a_gene,Disease,gene,bajo,C0086696,6,0.3333333333333333,0.1693333333333333,0.020912516188477493,7.842193570679062,0.016
disease_a_gene,Disease,gene,bajo,C0854723,6,0.3333333333333333,0.16949999999999998,0.021545172184144742,7.60417841793344,0.017
disease_a_gene,Disease,gene,bajo,C0432235,5,0.8,0.20240000000000002,0.021777052142105922,27.44173068514359,0.0
disease_a_gene,Disease,gene,bajo,C0751254,7,0.14285714285714285,0.14642857142857138,0.02230356427999428,-0.16012815380508533,1.0
disease_a_gene,Disease,gene,bajo,C2733158,5,0.2,0.20180000000000003,0.0208988037935189,-0.08612933150548246,1.0
disease_a_gene,Disease,gene,bajo,C1857332,5,0.2,0.20100000000000007,0.014106735979665887,-0.07088812050083758,1.0
disease_a_gene,Disease,gene,bajo,C0034362,5,0.2,0.20220000000000005,0.02086048896838231,-0.10546253270163115,1.0
disease_a_gene,Disease,gene,bajo,C0740394,5,0.2,0.20240000000000005,0.02177705214210592,-0.11020775375559864,1.0
disease_a_gene,Disease,gene,bajo,C0752308,5,0.4,0.20200000000000007,0.019899748742132396,9.9498743710662,0.01
disease_a_gene,Disease,gene,bajo,C0002876,5,0.2,0.20220000000000005,0.02086048896838231,-0.10546253270163115,1.0
disease_a_gene,Disease,gene,bajo,C1956097,7,0.14285714285714285,0.14699999999999996,0.024809066808696517,-0.16698964031185914,1.0
disease_a_gene,Disease,gene,bajo,C0041408,5,0.2,0.20380000000000004,0.027304944607158606,-0.13916893275819978,1.0
disease_a_gene,Disease,gene,bajo,C4552072,7,0.14285714285714285,0.14585714285714282,0.02238758766889932,-0.13400282533198313,1.0
disease_a_gene,Disease,gene,bajo,C0751636,5,0.2,0.20200000000000004,0.019899748742132392,-0.10050378152592272,1.0
disease_a_gene,Disease,gene,bajo,C0338480,6,0.16666666666666666,0.1693333333333333,0.022201101073795616,-0.12011416270764012,1.0
disease_a_gene,Disease,gene,bajo,C0079298,5,0.4,0.20200000000000004,0.019899748742132396,9.949874371066201,0.01
disease_a_gene,Disease,gene,bajo,C0025517,8,0.125,0.129375,0.023642850399222173,-0.18504537000089988,1.0
disease_a_gene,Disease,gene,bajo,C0032796,5,0.2,0.20200000000000007,0.019899748742132396,-0.10050378152592411,1.0
disease_a_gene,Disease,gene,bajo,C0001125,5,0.6,0.20180000000000003,0.018888091486436637,21.082066458961386,0.0
disease_a_gene,Disease,gene,bajo,C0014474,7,0.14285714285714285,0.14542857142857138,0.01899301697670886,-0.1353881047219551,1.0
disease_a_gene,Disease,gene,bajo,C0018681,5,0.2,0.20120000000000005,0.015445387661046256,-0.07769309688655283,1.0
disease_a_gene,Disease,gene,bajo,C0234372,7,0.14285714285714285,0.1451428571428571,0.01792501387583785,-0.1275153426126658,1.0
disease_a_gene,Disease,gene,bajo,C0030286,6,0.16666666666666666,0.16966666666666663,0.022158519806160334,-0.13538810472195614,1.0
disease_a_gene,Disease,gene,bajo,C1833104,7,0.2857142857142857,0.14657142857142855,0.02361424682392442,5.892326703466428,0.025
disease_a_gene,Disease,gene,bajo,C0024138,5,0.2,0.2018,0.018888091486436633,-0.09529814069846917,1.0
disease_a_gene,Disease,gene,bajo,C0524909,7,0.2857142857142857,0.14642857142857138,0.023200545384159593,6.003553450119024,0.024
disease_a_gene,Disease,gene,bajo,C0032231,6,0.16666666666666666,0.17016666666666663,0.023897349922812217,-0.14645975437882774,1.0
disease_a_gene,Disease,gene,bajo,C0086501,5,0.4,0.20200000000000004,0.019899748742132396,9.949874371066201,0.01
disease_a_gene,Disease,gene,bajo,C0752206,6,0.16666666666666666,0.16999999999999998,0.02333333333333333,-0.1428571428571426,1.0
disease_a_gene,Disease,gene,bajo,C0022594,5,0.4,0.20300000000000007,0.02431049156228644,8.10349718742881,0.015
disease_a_gene,Disease,gene,bajo,C0017601,7,0.42857142857142855,0.14585714285714282,0.020483442790981903,13.8020882817001,0.0
disease_a_gene,Disease,gene,bajo,C3854603,6,0.3333333333333333,0.17066666666666663,0.026574841903992997,6.12107749330487,0.023
disease_a_gene,Disease,gene,bajo,C0032463,8,0.375,0.130375,0.02535713656941572,9.647185490772339,0.0
disease_a_gene,Disease,gene,bajo,C4551484,6,1.0,0.16949999999999998,0.021545172184144742,38.54691867402069,0.0
disease_a_gene,Disease,gene,bajo,C0751635,5,0.2,0.20240000000000002,0.02177705214210592,-0.11020775375559737,1.0
disease_a_gene,Disease,gene,bajo,C0337443,7,0.14285714285714285,0.14642857142857138,0.024064115039890022,-0.14841304429887953,1.0
disease_a_gene,Disease,gene,bajo,C0017181,8,0.125,0.12925,0.023333184523335004,-0.1821440187793343,1.0
disease_a_gene,Disease,gene,bajo,C4708599,5,0.2,0.20220000000000005,0.02086048896838231,-0.10546253270163115,1.0
disease_a_gene,Disease,gene,bajo,C0851140,6,0.3333333333333333,0.17016666666666663,0.025032756318250065,6.51812627392176,0.02
disease_a_gene,Disease,gene,bajo,C0751357,5,0.4,0.20160000000000006,0.01781684596105607,11.135528725660043,0.008
disease_a_gene,Disease,gene,bajo,C1276035,7,0.14285714285714285,0.14599999999999996,0.02095476176949589,-0.1499829574503782,1.0
disease_a_gene,Disease,gene,bajo,C0231686,5,0.2,0.20220000000000005,0.020860488968382305,-0.10546253270163118,1.0
disease_a_gene,Disease,gene,bajo,C0002896,8,0.125,0.12875,0.021323402636539975,-0.17586311452816492,1.0
disease_a_gene,Disease,gene,bajo,C1852767,5,0.2,0.20300000000000007,0.025903667693977242,-0.11581371547232966,1.0
disease_a_gene,Disease,gene,bajo,C0085700,6,0.16666666666666666,0.16916666666666663,0.02025874296857203,-0.1234035104684578,1.0
disease_a_gene,Disease,gene,medio,C0238301,9,0.1111111111111111,0.11511111111111114,0.021286986693027636,-0.18790823039834922,1.0
disease_a_gene,Disease,gene,medio,C1266194,11,0.2727272727272727,0.09663636363636363,0.022823613985780183,7.715294746950205,0.002
disease_a_gene,Disease,gene,medio,C0153452,10,0.9,0.10480000000000003,0.0236,33.69491525423729,0.0
disease_a_gene,Disease,gene,medio,C0750940,14,0.14285714285714285,0.07828571428571426,0.021521702383161697,3.0002937231372755,0.094
disease_a_gene,Disease,gene,medio,C1270972,8,0.375,0.1295,0.02394786002965609,10.251437902843195,0.001
disease_a_gene,Disease,gene,medio,C0023485,10,0.2,0.10540000000000002,0.022601769842204838,4.185512933741635,0.054
disease_a_gene,Disease,gene,medio,C1846707,9,0.6666666666666666,0.1165555555555556,0.02398533502572554,22.93531070218897,0.0
disease_a_gene,Disease,gene,medio,C1834558,13,0.15384615384615385,0.08276923076923075,0.020956986097055784,3.3915622574616586,0.074
disease_a_gene,Disease,gene,medio,C0020305,17,0.058823529411764705,0.06747058823529412,0.021322292053348874,-0.4055407740356556,1.0
disease_a_gene,Disease,gene,medio,C0026827,14,0.14285714285714285,0.07907142857142856,0.023856608206156225,2.6737126139018503,0.099
disease_a_gene,Disease,gene,medio,C0265541,10,0.2,0.10510000000000003,0.02289082785746291,4.145765307874635,0.049
